scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ln,bytes_ue,bytes_lj,bytes_ln,bytes_total,msgs_ue,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,
g2_rain_fade,RAIN_FADE,14,,300,2,1,ok,,,1,55.824333,2003,5,10.544,0.125,11.288,11.268166,875,709,419,2003,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,2,ok,,,1,61.118959,2014,5,10.408,0.131,11.235,11.20533299,887,708,419,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,3,ok,,,1,53.639916,2014,5,11.495,0.094,11.078,11.077041,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,79.27373402,96.55639885,,1923.350833,1908.085833,,,
g2_rain_fade,RAIN_FADE,14,,300,2,4,ok,,,1,53.021666,2014,5,11.243,0.093,10.301,10.282917,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,91.69763584,91.34415581,,385.7249531,419.3044803,,,
g2_rain_fade,RAIN_FADE,14,,300,2,5,ok,,,1,54.239708,2017,5,10.139,0.128,11.225,11.22070799,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,2400,2400,,2400,2400,,,
g2_rain_fade,RAIN_FADE,14,,300,2,6,ok,,,1,51.380125,2014,5,11.217,0.096,10.97,11.106667,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,7,ok,,,1,57.785375,2015,5,12.829,0.132,11.964,11.997375,888,708,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,11.08894875,0.119038958,10.71151875,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,8,ok,,,1,68.919125,2015,5,18.228,0.127,12.296,12.251167,888,708,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,2.041050038,0.04376374,2.784849177,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,9,ok,,,2,59.72625,2017,5,12.88,0.096,11.096,11.104125,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,3,0,0,0,4800,4800,4800,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,10,ok,,,1,50.705584,2015,5,10.8,0.114,10.742,10.710875,888,709,418,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,11,ok,,,1,52.019291,2013,5,10.724,0.105,10.516,10.4985,887,708,418,2013,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,"(14, light)","(14, moderate)","(14, heavy)","(14, storm)","(24, light)","(24, moderate)","(24, heavy)","(24, storm)"
g2_rain_fade,RAIN_FADE,14,,300,2,12,ok,,,1,61.007708,2017,5,11.496,0.129,11.148,11.12708299,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,0.988467875,0.959935897,0.724399494,0.512219959,0.988467875,0.941915228,0.696139477,0.49501992
g2_rain_fade,RAIN_FADE,14,,300,2,13,ok,,,1,58.655458,2017,5,11.612,0.125,10.856,10.817125,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,14,ok,,,1,56.635833,2012,5,11.695,0.133,10.899,10.87716599,886,708,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,15,ok,,,1,56.110417,2014,5,11.13,0.115,10.762,10.740125,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,16,ok,,,1,55.734167,2014,5,12.112,0.119,11.693,11.7355,887,708,419,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,17,ok,,,1,59.959333,2007,5,11.052,0.132,11.709,11.677125,884,707,416,2007,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,18,ok,,,1,59.292,2011,5,10.928,0.179,11.354,11.274167,887,707,417,2011,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,19,ok,,,1,51.288209,2017,5,10.872,0.11,11.531,11.513458,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,20,ok,,,1,60.997417,2011,5,11.711,0.164,12.649,12.6325,886,708,417,2011,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,21,ok,,,1,56.026792,2017,5,10.735,0.14,11.54,11.555333,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,22,ok,,,1,56.728875,2012,5,10.459,0.129,12.131,12.11825,887,707,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,23,ok,,,1,60.495417,2012,5,11.896,0.176,16.971,17.136,887,707,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,24,ok,,,1,60.03254199,2014,5,11.392,0.114,11.225,11.237292,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,25,ok,,,1,60.095375,2010,5,11.174,0.164,15.04,15.075333,886,707,417,2010,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,26,ok,,,1,57.342209,2012,5,10.439,0.135,14.798,14.812167,887,708,417,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,27,ok,,,1,60.9535,2010,5,11.49,0.106,11.519,11.81775,885,708,417,2010,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,28,ok,,,1,58.988584,1989,5,11.955,0.116,11.25,11.222333,875,708,406,1989,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,29,ok,,,1,56.41375,2012,5,11.258,0.132,11.549,11.5415,887,707,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,30,ok,,,1,61.96575,2017,5,12.095,0.101,11.249,11.246916,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,31,ok,,,1,58.12575,2011,5,10.333,0.099,11.276,11.277292,886,707,418,2011,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,
