scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ln,bytes_ue,bytes_lj,bytes_ln,bytes_total,msgs_ue,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
g1_online_only,LEO_ONLY,12,0,200,2,1,ok,,0,1,71.71829201,1996,5,10.343,0.125,11.035,10.923208,872,708,416,1996,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,2,ok,,0,1,52.723917,2013,5,9.867,0.077,9.723,9.704832999,887,709,417,2013,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,3,ok,,0,1,54.947875,2010,5,10.567,0.149,11.665,11.638125,886,707,417,2010,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,4,ok,,0,1,50.763542,2009,5,9.877,0.071,10.214,10.19375,886,706,417,2009,2,2,1,5,1.76309E+12,1.76309E+12,,,54.82766082,76.63988064,2012.41,2013.592222,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,5,ok,,0,1,49.240166,2010,5,9.895,0.062,9.882,9.859207996,886,708,416,2010,2,2,1,5,1.76309E+12,1.76309E+12,,,176.8139596,102.4129004,2050.866344,8.520383951,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,6,ok,,0,1,58.830417,2015,5,10.133,0.068,10.009,9.988833001,888,709,418,2015,2,2,1,5,1.76309E+12,1.76309E+12,,,1800,1800,1800,1800,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,7,ok,,0,1,55.168,2011,5,10.023,0.061,9.924,9.904042003,886,708,417,2011,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,8,ok,,0,1,52.781375,2008,5,10.074,0.065,9.982,9.972708998,885,707,416,2008,2,2,1,5,1.76309E+12,1.76309E+12,,,"(12,0.0,200)","(12,0.0,400)","(12,0.0,600)","(12,0.1,200)","(12,0.1,400)","(12,0.1,600)","(24,0.0,200)","(24,0.0,400)","(24,0.0,600)","(24,0.1,200)","(24,0.1,400)","(24,0.1,600)",
g1_online_only,LEO_ONLY,12,0,200,2,9,ok,,0,1,52.135416,2015,5,9.704,0.071,10.375,10.354333,888,708,419,2015,2,2,1,5,1.76309E+12,1.76309E+12,,,1,1,0.990066225,1,1,0.996677741,1,0.996677741,1,0.996677741,1,1,
g1_online_only,LEO_ONLY,12,0,200,2,10,ok,,0,1,50.365958,2008,5,10.148,0.077,9.715,9.677667003,885,708,415,2008,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,11,ok,,0,1,51.574666,2014,5,9.713,0.065,10.848,10.818708,888,708,418,2014,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,12,ok,,0,1,50.163792,2010,5,9.868,0.08,10.138,10.087625,886,707,417,2010,2,2,1,5,1.76309E+12,1.76309E+12,,,10.88492528,0.088570556,11.01396111,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,13,ok,,0,1,55.364583,2014,5,10.073,0.062,10.026,10.008667,888,708,418,2014,2,2,1,5,1.76309E+12,1.76309E+12,,,15.22542242,0.005520499,17.78546715,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,14,ok,,0,1,54.247208,2015,5,10.071,0.074,10.12,10.097833,888,708,419,2015,2,2,1,5,1.76309E+12,1.76309E+12,,,3600,3600,3600,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,15,ok,,0,1,52.414666,2013,5,9.921,0.063,10.211,10.186958,887,708,418,2013,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,16,ok,,0,1,51.083166,2017,5,10.73,0.202,10.8,10.791708,889,709,419,2017,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,17,ok,,0,1,50.057334,2015,5,9.855,0.066,10.216,10.193,888,709,418,2015,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,18,ok,,0,1,56.460041,2017,5,10.129,0.068,10.354,10.331958,889,709,419,2017,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,19,ok,,0,1,53.224625,2011,5,9.866,0.059,10.22,10.195334,887,707,417,2011,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,20,ok,,0,1,54.845,2011,5,9.943,0.066,9.906,9.884958999,886,708,417,2011,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,21,ok,,0,1,58.362292,2013,5,9.999,0.063,9.977,9.952875,887,709,417,2013,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,22,ok,,0,1,53.280125,2009,5,10.1,0.066,10.223,10.19937501,885,707,417,2009,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,23,ok,,0,1,53.367666,2015,5,9.859,0.062,10.224,10.199334,888,709,418,2015,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,24,ok,,0,1,56.074625,2015,5,10.101,0.066,10.074,10.05125,888,708,419,2015,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,25,ok,,0,1,50.67729201,2013,5,9.991,0.058,10.136,10.121917,887,708,418,2013,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,26,ok,,0,1,54.559292,2006,5,9.991,0.069,9.927,9.904334001,884,706,416,2006,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,27,ok,,0,1,52.426125,2015,5,9.838,0.059,10.105,10.083958,889,708,418,2015,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,28,ok,,0,1,52.21562499,2012,5,9.962,0.082,10.255,10.24308401,887,707,418,2012,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,29,ok,,0,1,53.155667,2012,5,10.015,0.086,10.474,10.396458,887,708,417,2012,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,30,ok,,0,1,53.547459,2017,5,9.907,0.068,10.283,10.261875,889,709,419,2017,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,31,ok,,0,1,52.965625,2015,5,9.928,0.069,10.254,10.238209,888,708,419,2015,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,32,ok,,0,1,49.473375,2017,5,9.765,0.073,10.387,10.368584,889,709,419,2017,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,33,ok,,0,1,50.262583,2012,5,9.5,0.061,10.284,10.264792,887,707,418,2012,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,34,ok,,0,1,51.117125,2014,5,10.1,0.066,10.248,10.225667,888,708,418,2014,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,35,ok,,0,1,48.672541,2017,5,9.955,0.076,10.395,10.376666,889,709,419,2017,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,36,ok,,0,1,57.226167,2014,5,11.033,0.239,12.146,12.137792,888,708,418,2014,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,37,ok,,0,1,54.086958,2015,5,10.264,0.067,10.598,10.568625,888,708,419,2015,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,38,ok,,0,1,53.723791,2015,5,9.937,0.07,10.175,10.150791,888,708,419,2015,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,39,ok,,0,1,54.895458,2012,5,10.059,0.092,10.39,10.332375,887,707,418,2012,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,40,ok,,0,1,50.630875,2013,5,9.988,0.097,10.402,10.363541,887,708,418,2013,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,41,ok,,0,1,58.183459,2010,5,10.983,0.244,12.776,12.75437501,885,708,417,2010,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,42,ok,,0,1,55.519542,2017,5,9.903,0.069,10.286,10.257208,889,709,419,2017,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,43,ok,,0,1,52.062083,2012,5,9.738,0.074,10.317,10.27875,887,707,418,2012,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,44,ok,,0,1,53.381167,2013,5,10.622,0.164,11.277,11.305791,887,708,418,2013,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,45,ok,,0,1,50.56775,2015,5,9.982,0.069,10.313,10.299792,888,708,419,2015,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,46,ok,,0,1,52.382542,2011,5,9.84,0.056,10.288,10.282417,887,707,417,2011,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,47,ok,,0,1,50.670167,2012,5,10.62,0.138,11.096,11.092833,887,707,418,2012,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,48,ok,,0,1,52.703792,2010,5,10.117,0.078,10.3,10.279542,886,707,417,2010,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,49,ok,,0,1,57.368375,2014,5,10.419,0.144,10.998,10.9495,888,708,418,2014,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,50,ok,,0,1,55.107792,2014,5,10.445,0.133,10.453,10.432,887,708,419,2014,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0,200,2,51,ok,,0,1,56.281292,2014,5,10.644,0.157,10.498,10.48779101,887,708,419,2014,2,2,1,5,1.76309E+12,1.76309E+12,,,,,,,,,,,,,,,
