scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ln,bytes_ue,bytes_lj,bytes_ln,bytes_total,msgs_ue,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
g3_short_window,SHORT_WINDOW,12,0.5,200,2,1,ok,,,2,59.8528339999973,2013.0,5,10.397000000000002,0.051000000000016144,10.588999999999999,10.560542000007445,888.0,707.0,418.0,2013.0,2,2,1,5,1761481034628,1761481034665,,,,,,,,,,short,6972,571,347,231,0
g3_short_window,SHORT_WINDOW,12,0.5,200,2,2,ok,,,2,50.542374999992035,2012.0,5,9.940000000000005,0.045999999999935426,9.816999999999993,9.814291000012076,887.0,708.0,417.0,2012.0,2,2,1,5,1761481044556,1761481044584,,,,,,,,,,short,7264,588,260,218,0
g3_short_window,SHORT_WINDOW,12,0.5,200,2,3,ok,,,2,45.65066699998965,2013.0,5,9.934000000000001,0.03900000000001569,9.567000000000007,9.573333000005846,887.0,709.0,417.0,2013.0,2,2,1,5,1761481054781,1761481054805,,,,,,,,,,short,6812,354,329,250,2
g3_short_window,SHORT_WINDOW,12,0.5,200,2,4,ok,,,2,46.16954200000123,2003.0,5,9.899999999999995,0.03899999999998727,9.717000000000013,9.71445800000481,883.0,706.0,414.0,2003.0,2,2,1,5,1761481064503,1761481064526,,,,,,,,,,short,7393,608,254,152,1
g3_short_window,SHORT_WINDOW,12,0.5,200,2,5,ok,,,2,51.20512499999563,2017.0,5,9.974999999999998,0.04400000000003956,11.241000000000014,11.241791999992756,889.0,709.0,419.0,2017.0,2,2,1,5,1761481074698,1761481074724,,,,,,,,,,short,6618,654,311,170,1
g3_short_window,SHORT_WINDOW,12,0.5,200,2,6,ok,,,2,49.42475000000002,1987.0,5,9.906999999999996,0.04199999999997317,9.732,9.72966599999836,874.0,709.0,404.0,1987.0,2,2,1,5,1761481084348,1761481084376,,,,,,,,,,short,7141,463,294,172,0
g3_short_window,SHORT_WINDOW,12,0.5,200,2,7,ok,,,2,50.720999999981586,2011.0,5,10.180999999999997,0.05700000000001637,9.470999999999947,9.467709000006153,886.0,708.0,417.0,2011.0,2,2,1,5,1761481094444,1761481094471,,,,,,,,,,short,7769,680,322,262,3
g3_short_window,SHORT_WINDOW,12,0.5,200,2,8,ok,,,2,47.2153750000075,2017.0,5,9.959999999999997,0.05199999999990723,10.183999999999997,10.185959000011735,889.0,709.0,419.0,2017.0,2,2,1,5,1761481104936,1761481104960,,,,,,,,,,short,6430,540,246,222,0
g3_short_window,SHORT_WINDOW,12,0.5,200,2,9,ok,,,2,50.376874999983556,2013.0,5,9.834999999999994,0.03500000000002501,9.704000000000008,9.701540999998315,887.0,709.0,417.0,2013.0,2,2,1,5,1761481114410,1761481114438,,,,,,,,,,short,7289,419,332,180,2
g3_short_window,SHORT_WINDOW,12,0.5,200,2,10,ok,,,2,49.642542000015055,2010.0,5,10.003,0.04299999999994952,9.627999999999986,9.624207999991086,886.0,708.0,416.0,2010.0,2,2,1,5,1761481124816,1761481124843,,,,,,,,,,short,6058,880,232,179,1
g3_short_window,SHORT_WINDOW,12,0.5,200,2,11,ok,,,2,53.47608400001036,2017.0,5,10.061000000000003,0.04200000000003001,10.581999999999994,10.579417000002422,889.0,709.0,419.0,2017.0,2,2,1,5,1761481133403,1761481133432,,,,,,,,,,short,6167,381,233,187,1
g3_short_window,SHORT_WINDOW,12,0.5,200,2,12,ok,,,2,46.16075000001274,2012.0,5,9.947999999999997,0.0380000000001246,9.974999999999994,9.972582999978385,886.0,709.0,417.0,2012.0,2,2,1,5,1761481142439,1761481142461,,,,,,,,,,short,6896,254,272,170,2
g3_short_window,SHORT_WINDOW,12,0.5,200,2,13,ok,,,2,47.430374999976266,2009.0,5,10.053,0.0340000000001055,9.796999999999997,9.791542000016307,885.0,708.0,416.0,2009.0,2,2,1,5,1761481152318,1761481152343,,,,,,,,,,short,5927,823,227,195,1
