scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_ap2,processing_ms_ap2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
l1_online_only,LEO_ONLY,12,0,200,2,1,ok,,0,1,17.55720799,660,1,0.729,2.588,3.358542002,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,2,ok,,0,1,14.49175,660,1,0.691,1.862,2.646542009,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,3,ok,,0,1,16.63504199,660,1,0.623,1.836,2.389666988,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,4,ok,,0,1,15.54725,661,1,0.74,1.905,2.722165998,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,5,ok,,0,1,13.5795,661,1,0.585,1.813,2.332667005,1.76253E+12,1.76253E+12,,663.4311111,0.589905,2.141613333,2.867661764,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,6,ok,,0,1,15.097125,661,1,0.753,1.917,2.488749989,1.76253E+12,1.76253E+12,,487.1174765,0.025488372,0.167364949,0.601181071,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,7,ok,,0,1,14.62570901,661,1,0.64,1.822,2.316833008,1.76253E+12,1.76253E+12,,1800,1800,1800,1800,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,8,ok,,0,1,14.18766699,661,1,0.579,1.772,2.559166998,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,9,ok,,0,1,13.456791,661,1,0.732,1.796,2.326457994,1.76253E+12,1.76253E+12,,663,0.574732222,2.877095556,3.81231813,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,10,ok,,0,1,14.40395899,661,1,0.681,1.632,2.224707991,1.76253E+12,1.76253E+12,,0,0.006637812,0.135649878,0.42537447,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,11,ok,,0,1,13.926167,661,1,0.797,1.812,2.432207999,1.76253E+12,1.76253E+12,,1800,1800,1800,1800,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,12,ok,,0,1,13.27537501,661,1,0.585,1.561,2.055624995,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,13,ok,,0,1,14.89579199,661,1,0.726,1.873,2.501374998,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,14,ok,,0,1,15.977666,661,1,0.75,1.823,2.734624999,1.76253E+12,1.76253E+12,,,0.582318611,2.509354444,3.339989947,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,15,ok,,0,1,14.77124999,661,1,0.572,1.677,2.100750004,1.76253E+12,1.76253E+12,,,0.016120645,0.286740938,0.736371683,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,16,ok,,0,1,14.85441701,661,1,0.669,1.72,2.49316699,1.76253E+12,1.76253E+12,,,3600,3600,3600,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,17,ok,,0,1,13.95708401,661,1,0.763,1.837,2.414917006,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,18,ok,,0,1,12.82237501,661,1,0.564,1.735,2.280667002,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,19,ok,,0,1,19.339708,661,1,1.216,2.121,3.023750003,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,20,ok,,0,1,12.51729199,661,1,0.636,2.032,2.836125001,1.76253E+12,1.76253E+12,,"(12,0.0,200)","(12,0.0,400)","(12,0.0,600)","(12,0.1,200)","(12,0.1,400)","(12,0.1,600)","(24,0.0,200)","(24,0.0,400)","(24,0.0,600)","(24,0.1,200)","(24,0.1,400)","(24,0.1,600)",,
l1_online_only,LEO_ONLY,12,0,200,2,21,ok,,0,1,15.363834,661,1,0.614,1.609,2.141375007,1.76253E+12,1.76253E+12,,0.996677741,1,1,0.996677741,1,1,1,1,1,1,1,1,,
l1_online_only,LEO_ONLY,12,0,200,2,22,ok,,0,1,14.456916,661,1,0.532,1.757,2.450582993,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,23,ok,,0,1,12.32816699,661,1,0.491,1.633,2.041874992,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,24,ok,,0,1,13.488125,661,1,0.757,1.661,2.505791999,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,25,ok,,0,1,13.907375,661,1,0.516,1.709,2.161249999,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,26,ok,,0,1,16.845416,661,1,0.601,1.811,2.38895799,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,27,ok,,0,1,14.820083,661,1,0.705,1.583,2.039166997,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,28,ok,,0,1,13.451166,661,1,0.561,1.641,2.404542,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,29,ok,,0,1,14.143084,661,1,0.687,1.661,2.191832988,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,30,ok,,0,1,15.4815,661,1,0.783,1.989,3.362250005,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,31,ok,,0,1,14.40375,661,1,0.628,1.752,2.31633299,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,32,ok,,0,1,14.18625,661,1,0.716,1.752,2.567167001,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,33,ok,,0,1,15.26008399,661,1,0.693,1.759,2.334792007,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,34,ok,,0,1,14.399875,661,1,0.766,1.808,2.651749994,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,35,ok,,0,1,15.46,661,1,0.657,1.806,2.458582996,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,36,ok,,0,1,16.49899999,661,1,0.809,2.27,3.290875,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,37,ok,,0,1,13.497458,661,1,0.507,1.643,2.089834001,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,38,ok,,0,1,15.849209,661,1,0.771,2.049,2.991083005,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,39,ok,,0,1,15.503709,661,1,0.554,1.872,2.359834005,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,40,ok,,0,1,17.766292,661,1,0.722,2.039,2.952374998,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,41,ok,,0,1,13.608875,661,1,0.713,1.994,2.608499999,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,42,ok,,0,1,16.566666,661,1,0.776,2.636,3.843207989,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,43,ok,,0,1,15.19808301,661,1,0.539,1.829,2.337458995,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,44,ok,,0,1,13.537708,661,1,0.664,1.908,2.721915997,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,45,ok,,0,1,13.61629099,661,1,0.689,1.98,2.552042002,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,46,ok,,0,1,15.869667,661,1,0.592,1.991,2.765665995,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,47,ok,,0,1,12.555041,661,1,0.508,1.85,2.416083007,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,48,ok,,0,1,16.09354101,661,1,0.548,1.85,2.614832993,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,49,ok,,0,1,15.899042,662,1,0.627,2.036,2.583249996,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,50,ok,,0,1,16.934958,662,1,0.72,3.133,4.107875007,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,51,ok,,0,1,17.878916,662,1,0.809,3.243,4.527541998,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,52,ok,,0,1,15.60820799,662,1,0.947,2.019,2.453625013,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,53,ok,,0,1,17.14354201,662,1,1.051,2.951,3.970374994,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,54,ok,,0,1,21.80208301,662,1,0.6,1.928,8.263041993,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,55,ok,,0,1,16.023416,662,1,0.544,1.744,2.260458001,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,56,ok,,0,1,14.66474999,662,1,0.521,1.818,2.608583003,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,57,ok,,0,1,14.823875,662,1,0.543,1.847,2.307792005,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,58,ok,,0,1,13.84383401,662,1,0.516,1.707,2.279166991,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
