scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_ap2,processing_ms_ap2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,1,ok,,0,1,19.014333,660,1,0.579,2.983,4.046833001,1.76275E+12,1.76275E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,2,ok,,0,1,24.21675,660,1,0.459,2.949,3.966875001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,3,ok,,0,1,25.747167,660,1,0.545,2.864,3.799666001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,4,ok,,0,1,21.562126,661,1,0.488,2.802,3.630625,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,5,ok,,0,1,21.792625,661,1,0.49,2.854,3.906625001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,6,ok,,0,1,18.127667,661,1,0.465,2.838,3.856292,1.76275E+12,1.76275E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,25.50202418,39.04352249,88.1200259,128.4308918,35.53605946,43.25707017,105.7812441,162.5706689
l2_rain_fade,RAIN_FADE,14,0.1,300,2,7,ok,,0,1,20.265083,661,1,0.479,2.774,3.810042001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,30.21047844,101.8036905,194.7126206,233.2087884,36.37916486,71.37237138,206.3018192,257.8445371
l2_rain_fade,RAIN_FADE,14,0.1,300,2,8,ok,,0,1,23.335292,661,1,0.607,2.739,3.842167,1.76275E+12,1.76275E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,600,600,600,600,600,600,600,600
l2_rain_fade,RAIN_FADE,14,0.1,300,2,9,ok,,0,1,22.046542,661,1,0.507,2.786,3.758082999,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,10,ok,,0,1,20.492333,661,1,0.488,2.806,3.881458,1.76275E+12,1.76275E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,,30.21047844,101.8036905,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,11,ok,,0,1,25.349416,661,1,0.636,2.815,3.833249999,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,12,ok,,0,1,21.04975,661,1,0.498,2.817,3.597625,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,13,ok,,0,1,22.2755,661,1,0.593,2.465,3.093125,1.76275E+12,1.76275E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,,70.27411609,86.78626065,,0.747286667,0.74563875,3.436299167,3.708292083,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,14,ok,,0,1,24.035375,661,1,0.515,2.84,3.840874999,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,166.0245353,177.5437724,,0.926066574,1.883460839,1.56204003,1.539763755,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,15,ok,,0,1,21.080292,661,1,0.609,2.626,3.582542,1.76275E+12,1.76275E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,2400,2400,,2400,2400,2400,2400,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,16,ok,,0,1,23.517667,661,1,0.524,2.778,3.783291,1.76275E+12,1.76275E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,17,ok,,0,1,23.3365,661,1,0.455,2.753,3.740125001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,721.98125,729.8233333,,0.746462708,3.572295625,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,18,ok,,0,1,21.327834,661,1,0.479,2.685,3.672833001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,223.4394494,236.4707197,,1.484086485,1.556892987,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,19,ok,,0,1,24.132875,661,1,0.658,2.693,3.700459001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,2400,2400,,4800,4800,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,20,ok,,0,1,20.949291,661,1,0.481,2.774,3.601834,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,21,ok,,0,1,21.758792,661,1,0.482,2.772,3.7985,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,"(14, light)","(14, moderate)","(14, heavy)","(14, storm)","(24, light)","(24, moderate)","(24, heavy)","(24, storm)"
l2_rain_fade,RAIN_FADE,14,0.1,300,2,22,ok,,0,1,24.973083,661,1,0.517,2.809,3.882833,1.76275E+12,1.76275E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,,0.996677741,0.964573269,0.8820059,0.787837838,0.995024876,0.980392157,0.867732558,0.754545455
l2_rain_fade,RAIN_FADE,14,0.1,300,2,23,ok,,0,1,22.552209,661,1,0.478,2.682,3.699417,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,24,ok,,0,1,23.096583,661,1,0.485,2.783,3.837042001,1.76275E+12,1.76275E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,25,ok,,0,1,22.718792,661,1,0.518,2.721,3.677125,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,26,ok,,0,1,22.10975,661,1,0.521,2.834,3.885042001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,27,ok,,0,1,25.628292,661,1,0.943,3.899,8.437500001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,28,ok,,0,1,23.372167,661,1,0.507,2.786,3.88575,1.76275E+12,1.76275E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,
