scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,cpu_ms_ground,cpu_ms_ncc,processing_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,combo_index,,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,1,ok,,0,1,132.432417,208,6,0.908,0.058,0.049,0.049,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,6,0,0,0,,,,,,0,0,0.098,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,2,ok,,0,1,90.342167,208,6,1.101,0.119,0.076,0.076,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,6,0,0,0,,,,,,0,0,0.152,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,3,ok,,0,1,87.773542,208,6,0.902,0.109,0.1,0.1,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,7,0,0,0,,,,,,0,0,0.2,88.71222635,119.118718,250.374786,433.5913649,142.6899123,179.2866583,325.046075,461.1718701,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,4,ok,,0,1,89.339125,208,6,0.538,0.063,0.083,0.083,0,1.76303E+12,1.76303E+12,light→light,0.64,,,1,5,0.2,0,0,,,,,,0,0,0.166,43.50911287,120.9957842,206.0989424,385.8781283,47.13173023,145.9348815,290.5380808,379.6539533,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,5,ok,,0,1,70.948917,208,6,0.529,0.047,0.069,0.069,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.138,600,600,1200,600,600,600,600,600,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,6,ok,,0,1,86.483,208,6,0.442,0.039,0.044,0.044,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.088,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,7,ok,,0,1,79.511166,208,6,0.419,0.06,0.036,0.036,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.072,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,8,ok,,0,1,80.5145,208,6,0.405,0.029,0.04,0.04,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.08,227.2163036,277.0486289,,0.930738958,0.090719583,0.169720833,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,9,ok,,0,1,89.911042,208,6,0.449,0.045,0.035,0.035,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.07,282.507805,281.0172062,,0.852492525,0.098219727,0.173027046,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,10,ok,,0,1,76.702458,208,6,0.428,0.039,0.05,0.05,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.1,2400,2400,,4800,4800,4800,,,,,
