scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
s1_online_only,LEO_ONLY,12,0,200,2,1,ok,,0,1,66.03125,120,1,24.047,10.684,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,2,ok,,0,1,50.066959,120,1,23.305,9.933,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,3,ok,,0,1,46.972501,120,1,22.652,9.621,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,4,ok,,0,1,46.185,120,1,22.852,9.727,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,5,ok,,0,1,50.448834,120,1,23.087,10.118,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,6,ok,,0,1,45.487875,120,1,22.55,9.762,1.76252E+12,1.76252E+12,,120.2666667,23.90684833,10.46480167,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,7,ok,,0,1,49.305542,120,1,23.783,10.158,1.76252E+12,1.76252E+12,,31.92888889,3.661031934,0.586865276,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,8,ok,,0,1,49.111042,120,1,23.026,9.972,1.76252E+12,1.76252E+12,,1800,1800,1800,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,9,ok,,0,1,49.276625,120,1,23.122,10.182,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,10,ok,,0,1,48.927625,120,1,22.695,9.786,1.76252E+12,1.76252E+12,,119.8666667,24.14446056,10.54651556,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,11,ok,,0,1,49.252167,120,1,22.911,10.049,1.76252E+12,1.76252E+12,,15.98222222,1.399573836,0.174592876,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,12,ok,,0,1,47.596875,120,1,23.01,10.006,1.76252E+12,1.76252E+12,,1800,1800,1800,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,13,ok,,0,1,47.694334,120,1,23.293,10.136,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,14,ok,,0,1,47.5025,120,1,22.804,9.772,1.76252E+12,1.76252E+12,,,24.02565444,10.50565861,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,15,ok,,0,1,52.209791,120,1,23.523,10.408,1.76252E+12,1.76252E+12,,,2.544417777,0.382398366,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,16,ok,,0,1,50.00875,120,1,23.287,10.107,1.76252E+12,1.76252E+12,,,3600,3600,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,17,ok,,0,1,56.108708,120,1,25.047,10.923,1.76252E+12,1.76252E+12,,"(12,0.0,200)","(12,0.0,400)","(12,0.0,600)","(12,0.1,200)","(12,0.1,400)","(12,0.1,600)","(24,0.0,200)","(24,0.0,400)","(24,0.0,600)","(24,0.1,200)","(24,0.1,400)","(24,0.1,600)",,
s1_online_only,LEO_ONLY,12,0,200,2,18,ok,,0,1,51.743209,120,1,23.811,10.04,1.76252E+12,1.76252E+12,,1,1,1,0.993377483,1,0.993377483,1,1,1,1,1,1,,
s1_online_only,LEO_ONLY,12,0,200,2,19,ok,,0,1,49.497333,120,1,24.049,10.094,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,20,ok,,0,1,49.25925,120,1,23.524,10.155,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,21,ok,,0,1,47.788209,120,1,23.36,10.38,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,22,ok,,0,1,51.780084,120,1,22.771,9.879,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,23,ok,,0,1,45.810833,120,1,22.823,9.925,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,24,ok,,0,1,45.261959,120,1,22.963,9.68,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,25,ok,,0,1,48.395166,120,1,24,10.275,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,26,ok,,0,1,49.468625,120,1,24.267,10.497,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,27,ok,,0,1,52.897792,120,1,24.01,10.278,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,28,ok,,0,1,49.110625,120,1,23.544,10.293,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,29,ok,,0,1,49.371667,120,1,23.361,10.19,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,30,ok,,0,1,48.594125,120,1,24.085,10.204,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,31,ok,,0,1,47.677625,120,1,23.38,10.006,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,32,ok,,0,1,46.03125,120,1,23.33,10.04,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,33,ok,,0,1,49.329084,120,1,23.291,10.073,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,34,ok,,0,1,48.012291,120,1,23.299,9.845,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,35,ok,,0,1,45.842541,120,1,22.987,9.976,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,36,ok,,0,1,48.927125,120,1,23.454,9.914,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,37,ok,,0,1,45.671625,120,1,23.277,10.001,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,38,ok,,0,1,49.346833,120,1,23.322,10.106,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
s1_online_only,LEO_ONLY,12,0,200,2,39,ok,,0,1,49.39225,120,1,23.159,10.681,1.76252E+12,1.76252E+12,,,,,,,,,,,,,,,
