scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,1,ok,,,1,55.871625,120,1,25.195,10.417,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,2,ok,,,1,44.138417,120,1,23.208,9.73,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,3,ok,,,1,44.108,120,1,24.919,10.248,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,4,ok,,,1,46.845125,120,1,24.114,10.15,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,5,ok,,,1,47.909875,120,1,24.16,10.253,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,6,ok,,,1,49.9595,120,1,24.456,10.451,1.7627E+12,1.7627E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,50.55876285,54.53613745,100.3899956,158.5880076,53.67753892,62.15440836,116.2981538,164.9438181
s2_rain_fade,RAIN_FADE,14,,300,2,7,ok,,,1,46.933792,120,1,23.822,10.54,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,33.82470319,133.2608825,165.3296648,239.6410288,18.70805548,58.64924361,186.1994227,258.7411399
s2_rain_fade,RAIN_FADE,14,,300,2,8,ok,,,1,48.448959,120,1,24.022,10.651,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,600,600,600,600,600,600,600,600
s2_rain_fade,RAIN_FADE,14,,300,2,9,ok,,,1,48.590084,120,1,25.408,10.32,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,10,ok,,,1,44.274084,120,1,24.183,10.223,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,11,ok,,,1,45.719375,120,1,24.286,10.478,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,12,ok,,,1,49.891291,120,1,25.029,11.719,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,13,ok,,,1,45.357542,120,1,24.257,10.596,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,91.01822588,99.26847979,,26.55116542,26.23042708,11.26808625,11.19491417,
s2_rain_fade,RAIN_FADE,14,,300,2,14,ok,,,1,49.241625,120,1,24.645,10.834,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,155.1561032,168.4237035,,6.062567546,6.09100845,2.396207343,2.325536836,
s2_rain_fade,RAIN_FADE,14,,300,2,15,ok,,,1,49.801792,120,1,24.258,11.678,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,2400,2400,,2400,2400,2400,2400,
s2_rain_fade,RAIN_FADE,14,,300,2,16,ok,,,1,46.269166,120,1,23.787,10.444,1.7627E+12,1.7627E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,133.25,133.9,,26.39079625,11.23150021,,,
s2_rain_fade,RAIN_FADE,14,,300,2,17,ok,,,1,48.489208,120,1,25.115,10.296,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,45.28175681,47.35810385,,6.07892037,2.361419941,,,
