scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,1,ok,,0,1,36.856208,374,1,3.682,13.5,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,2,ok,,0,1,39.237792,374,1,3.816,14.89,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,3,ok,,0,1,32.658167,374,1,3.65,13.435,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,4,ok,,0,1,33.122833,374,1,3.805,13.573,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,5,ok,,0,1,35.194709,374,1,3.752,13.714,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,6,ok,,0,1,34.716958,374,1,3.66,13.6,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,35.23851993,35.08680048,39.13251132,54.57349031,46.38823918,45.56817066,52.96177031,63.69503643
y2_rain_fade,RAIN_FADE,14,0.1,300,2,7,ok,,0,1,33.995291,374,1,3.473,13.043,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,2.979174064,2.978225643,122.0637529,84.70644448,120.7828023,120.7961739,122.0444679,124.0613821
y2_rain_fade,RAIN_FADE,14,0.1,300,2,8,ok,,0,1,32.879667,374,1,3.81,13.889,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,600,600,600,600,600,600,600,600
y2_rain_fade,RAIN_FADE,14,0.1,300,2,9,ok,,0,1,36.629958,374,1,3.609,14.406,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,10,ok,,0,1,34.816792,374,1,3.809,14.13,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,11,ok,,0,1,34.044833,374,1,3.795,13.382,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,12,ok,,0,1,47.930875,374,1,5.112,23.994,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,13,ok,,0,1,33.883541,374,1,3.518,13.465,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,41.00783051,52.15330414,,4.06879625,4.117166667,14.47171583,14.66505958,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,14,ok,,0,1,33.455792,374,1,3.711,13.645,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,46.26868625,50.55591219,,1.009019443,0.98574522,2.61453043,2.803389373,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,15,ok,,0,1,38.56875,374,1,3.836,14.279,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,2400,2400,,2400,2400,2400,2400,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,16,ok,,0,1,38.718417,374,1,4.12,19.024,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,438.0208333,437.8570833,,4.092981458,14.56838771,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,17,ok,,0,1,33.312209,374,1,3.742,13.786,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,174.5169177,173.0672027,,0.997743385,2.712328543,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,18,ok,,0,1,34.004,374,1,3.57,13.43,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,2400,2400,,4800,4800,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,19,ok,,0,1,37.507917,374,1,3.548,13.375,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,20,ok,,0,1,37.625291,374,1,3.689,13.712,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,"(14, light)","(14, moderate)","(14, heavy)","(14, storm)","(24, light)","(24, moderate)","(24, heavy)","(24, storm)"
y2_rain_fade,RAIN_FADE,14,0.1,300,2,21,ok,,0,1,36.923834,374,1,3.606,13.793,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,0.988467875,0.958466454,0.821182944,0.681551116,0.995024876,0.94637224,0.795698925,0.698431846
y2_rain_fade,RAIN_FADE,14,0.1,300,2,22,ok,,0,1,31.750792,374,1,3.681,13.716,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,23,ok,,0,1,48.709416,374,1,8.684,20.936,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,24,ok,,0,1,37.042833,374,1,3.87,13.958,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,25,ok,,0,1,42.7165,374,1,4.594,22.135,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,26,ok,,0,1,34.798083,374,1,3.861,15.544,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,27,ok,,0,1,33.26875,374,1,3.82,13.662,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,28,ok,,0,1,35.497292,374,1,3.648,13.446,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,29,ok,,0,1,35.500709,374,1,3.711,13.496,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,30,ok,,0,1,34.979625,374,1,3.9,14.011,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,31,ok,,0,1,33.40125,374,1,3.681,13.384,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,32,ok,,0,1,64.334042,374,1,26.718,15.931,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,33,ok,,0,1,35.407417,374,1,3.698,13.761,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,34,ok,,0,1,34.971583,374,1,3.868,13.732,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,35,ok,,0,1,39.105083,374,1,3.673,13.815,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,36,ok,,0,1,33.495083,374,1,3.725,13.661,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,37,ok,,0,1,37.743,374,1,3.707,13.998,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,38,ok,,0,1,33.498333,374,1,3.673,13.477,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,39,ok,,0,1,35.645833,374,1,3.464,13.407,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,40,ok,,0,1,36.741541,374,1,3.706,13.85,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,41,ok,,0,1,34.929292,374,1,3.827,13.715,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,42,ok,,0,1,34.308375,374,1,3.706,13.737,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,43,ok,,0,1,32.513625,374,1,3.811,13.744,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,44,ok,,0,1,37.415625,374,1,3.655,13.561,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,45,ok,,0,1,34.314458,374,1,3.533,13.889,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,46,ok,,0,1,35.294625,374,1,3.683,13.413,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,47,ok,,0,1,34.742,374,1,3.76,13.783,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,48,ok,,0,1,38.147167,374,1,3.789,14.19,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
