scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
z1_online_only,LEO_ONLY,12,0,200,2,1,ok,,0,1,50.098084,374,1,3.824,14.492,1.7626E+12,1.7626E+12,,,,,,,,,,,,,,,
z1_online_only,LEO_ONLY,12,0,200,2,2,ok,,0,1,35.0035,374,1,3.602,13.488,1.7626E+12,1.7626E+12,,,,,,,,,,,,,,,
z1_online_only,LEO_ONLY,12,0,200,2,3,ok,,0,1,37.88779103,374,1,3.824,13.891,1.7626E+12,1.7626E+12,,,,,,,,,,,,,,,
z1_online_only,LEO_ONLY,12,0,200,2,4,ok,,0,1,30.95100002,374,1,3.621,13.517,1.7626E+12,1.7626E+12,,,,,,,,,,,,,,,
z1_online_only,LEO_ONLY,12,0,200,2,5,ok,,0,1,35.39812501,374,1,3.626,13.45,1.7626E+12,1.7626E+12,,,,,,,,,,,,,,,
z1_online_only,LEO_ONLY,12,0,200,2,6,ok,,0,1,32.90787499,374,1,3.591,13.292,1.7626E+12,1.7626E+12,,374.5983333,3.681865556,13.62956778,,,,,,,,,,,
z1_online_only,LEO_ONLY,12,0,200,2,7,ok,,0,1,31.6165,374,1,3.553,13.349,1.7626E+12,1.7626E+12,,232.7936639,0.22597869,0.845497161,,,,,,,,,,,
z1_online_only,LEO_ONLY,12,0,200,2,8,ok,,0,1,30.70887498,374,1,3.774,13.413,1.7626E+12,1.7626E+12,,1800,1800,1800,,,,,,,,,,,
z1_online_only,LEO_ONLY,12,0,200,2,9,ok,,0,1,31.310458,374,1,3.54,13.515,1.7626E+12,1.7626E+12,,,,,,,,,,,,,,,
z1_online_only,LEO_ONLY,12,0,200,2,10,ok,,0,1,30.71262498,374,1,3.673,13.105,1.7626E+12,1.7626E+12,,374.1877778,3.719351111,14.05967389,,,,,,,,,,,
z1_online_only,LEO_ONLY,12,0,200,2,11,ok,,0,1,29.80212501,374,1,3.644,13.513,1.7626E+12,1.7626E+12,,77.6936284,0.150860083,0.961183675,,,,,,,,,,,
