scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,1,ok,,0,1,56.528459,374,1,3.91,15.672,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,2,ok,,0,1,31.075375,374,1,3.618,13.101,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,3,ok,,0,1,36.134375,374,1,3.798,13.372,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,4,ok,,0,1,35.704458,374,1,3.605,13.525,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,5,ok,,0,1,32.596625,374,1,3.667,13.718,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,6,ok,,0,1,38.638334,374,1,3.767,13.648,1.76279E+12,1.76279E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,34.93459734,34.94556336,42.4544462,50.91749981,44.96845634,45.17681092,58.94429745,73.51416229
z2_rain_fade,RAIN_FADE,14,0.1,300,2,7,ok,,0,1,31.279,374,1,3.694,13.657,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,3.598347079,2.971699617,122.898774,80.58446884,120.8202618,120.8060944,123.1553727,125.9456059
z2_rain_fade,RAIN_FADE,14,0.1,300,2,8,ok,,0,1,34.419042,374,1,3.655,13.808,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,600,600,600,600,600,600,600,600
z2_rain_fade,RAIN_FADE,14,0.1,300,2,9,ok,,0,1,38.579125,374,1,3.977,20.337,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,10,ok,,0,1,33.691417,374,1,3.56,13.41,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
