scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ln,bytes_ue,bytes_lj,bytes_ln,bytes_total,msgs_ue,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
g2_rain_fade,RAIN_FADE,14,,300,2,1,ok,,,1,57.077333000002284,2008.0,5,11.683999999999997,0.0810000000000457,9.700000000000003,9.66470800000252,884.0,708.0,416.0,2008.0,2,2,1,5,1762742116484,1762742116511,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,2,ok,,,1,52.844874999998126,2015.0,5,10.595999999999997,0.11200000000002319,10.76100000000001,10.789125000002286,888.0,709.0,418.0,2015.0,2,2,1,5,1762742117612,1762742117634,light,0.8,80.0,0.0,1,4,0.25,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,3,ok,,,1,51.87979099999751,2013.0,5,11.091999999999999,0.08700000000001751,9.332000000000008,9.316208000001325,887.0,709.0,417.0,2013.0,2,2,1,5,1762742118368,1762742118390,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,4,ok,,,1,49.638041999997995,2013.0,5,10.738999999999997,0.10500000000001819,9.620999999999981,9.597416999994834,887.0,709.0,417.0,2013.0,2,2,1,5,1762742119173,1762742119195,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,5,ok,,,1,51.368875000001424,2013.0,5,10.832,0.10099999999999909,10.82899999999998,10.825999999994451,887.0,708.0,418.0,2013.0,2,2,1,5,1762742119837,1762742119858,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,6,ok,,,1,47.06600000000094,2013.0,5,11.191000000000003,0.09400000000010778,10.710000000000008,10.713666999997429,887.0,707.0,419.0,2013.0,2,2,1,5,1762742120552,1762742120573,light,0.8,80.0,0.0,2,2,1.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,7,ok,,,1,49.73645799999815,2010.0,5,12.050000000000004,0.08900000000005548,9.682999999999964,9.659208000002195,886.0,708.0,416.0,2010.0,2,2,1,5,1762742121271,1762742121293,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,8,ok,,,1,48.586958000001346,2011.0,5,10.015,0.09300000000007458,9.861000000000018,9.84470800000281,886.0,709.0,416.0,2011.0,2,2,1,5,1762742122054,1762742122078,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,9,ok,,,1,49.51491599999969,2014.0,5,12.146,0.08700000000004593,10.384000000000015,10.470874999995772,888.0,708.0,418.0,2014.0,2,2,1,5,1762742122719,1762742122737,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,10,ok,,,1,49.40950000000299,2013.0,5,12.427999999999997,0.07999999999992724,10.45399999999998,10.488125000001958,887.0,708.0,418.0,2013.0,2,2,1,5,1762742123440,1762742123460,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,11,ok,,,1,51.93258300000281,2011.0,5,10.750999999999998,0.0959999999999468,11.176999999999992,11.146416000002546,886.0,707.0,418.0,2011.0,2,2,1,5,1762742124143,1762742124165,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,12,ok,,,1,52.55887500000256,2010.0,5,10.445,0.08600000000006958,9.980000000000018,9.962833000003002,886.0,708.0,416.0,2010.0,2,2,1,5,1762742124831,1762742124857,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,13,ok,,,1,45.206166999996356,2017.0,5,9.984000000000002,0.08699999999993224,10.175999999999988,10.154249999999365,889.0,709.0,419.0,2017.0,2,2,1,5,1762742125537,1762742125555,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,14,ok,,,1,50.51004199999909,2012.0,5,9.972999999999999,0.11200000000013688,10.798000000000002,10.801624999999149,887.0,707.0,418.0,2012.0,2,2,1,5,1762742126225,1762742126248,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,15,ok,,,1,48.765165999995475,2013.0,5,12.017000000000003,0.07999999999998408,9.621999999999986,9.607792000004167,887.0,709.0,417.0,2013.0,2,2,1,5,1762742127058,1762742127078,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,16,ok,,,1,52.682333999996445,2012.0,5,11.040999999999997,0.1049999999999045,10.09899999999999,10.087499999997362,886.0,708.0,418.0,2012.0,2,2,1,5,1762742127894,1762742127918,light,0.8,80.0,0.0,2,2,1.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,17,ok,,,1,46.511375999997995,2017.0,5,10.123000000000012,0.10500000000001819,10.516999999999996,10.505917000003251,889.0,709.0,419.0,2017.0,2,2,1,5,1762742128612,1762742128634,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,18,ok,,,1,48.976917000004505,2014.0,5,9.988,0.0769999999998845,10.072000000000003,10.06079100000079,887.0,709.0,418.0,2014.0,2,2,1,5,1762742129301,1762742129322,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,19,ok,,,1,49.166667000001496,2017.0,5,10.537999999999997,0.08399999999994634,10.048000000000002,10.028540999996949,889.0,709.0,419.0,2017.0,2,2,1,5,1762742130003,1762742130025,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,20,ok,,,1,50.42812599999991,2007.0,5,10.821000000000002,0.07800000000008822,9.911999999999978,9.8979589999999,884.0,708.0,415.0,2007.0,2,2,1,5,1762742130686,1762742130707,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,1,ok,,,1,48.51233299999791,2014.0,5,10.009999999999991,0.11199999999996635,10.643000000000029,10.669624999998462,888.0,708.0,418.0,2014.0,2,2,1,5,1762742131500,1762742131519,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,2,ok,,,1,50.36233300000248,2012.0,5,11.286000000000001,0.08799999999996544,10.674999999999955,10.700166999995986,887.0,707.0,418.0,2012.0,2,2,1,5,1762742132213,1762742132234,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,3,ok,,,1,47.798917000001495,2014.0,5,10.469999999999999,0.08400000000017371,10.100000000000023,10.084208000002093,888.0,708.0,418.0,2014.0,2,2,1,5,1762742133076,1762742133098,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,4,ok,,,1,48.028166000001704,2016.0,5,11.700999999999993,0.0729999999998654,10.437000000000012,10.453834000003326,888.0,709.0,419.0,2016.0,2,2,1,5,1762742133804,1762742133824,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,5,ok,,,1,49.9372080000029,2017.0,5,11.421999999999997,0.08500000000003638,10.783999999999992,10.796082999995349,889.0,709.0,419.0,2017.0,2,2,1,5,1762742134570,1762742134590,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,6,ok,,,1,52.18895799999501,2009.0,5,9.966000000000001,0.30700000000013006,10.456000000000017,10.458749999997963,886.0,706.0,417.0,2009.0,2,2,1,5,1762742135378,1762742135401,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,7,ok,,,1,50.932374999995034,2013.0,5,10.637999999999998,0.10900000000015098,10.47199999999998,10.461834000004444,887.0,708.0,418.0,2013.0,2,2,1,5,1762742136088,1762742136111,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,8,ok,,,1,48.24358300000142,2013.0,5,9.896,0.1029999999999518,10.289000000000044,10.290666999999587,887.0,708.0,418.0,2013.0,2,2,1,5,1762742136810,1762742136832,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,9,ok,,,1,52.13558300000187,2015.0,5,11.623000000000005,0.10500000000001819,11.399999999999977,11.39412499999537,888.0,709.0,418.0,2015.0,2,2,1,5,1762742137510,1762742137529,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,10,ok,,,1,52.88954200000262,2015.0,5,11.697000000000003,0.09300000000007458,10.408000000000015,10.414875000002155,888.0,708.0,419.0,2015.0,2,2,1,5,1762742138202,1762742138225,light,0.8,80.0,0.0,1,2,0.5,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,11,ok,,,2,62.76412500000106,1990.0,5,13.479999999999997,0.13900000000001,12.863,12.841332999997235,874.0,709.0,407.0,1990.0,2,2,1,5,1762742139425,1762742139455,light,0.8,80.0,0.0,5,5,1.0,0,0,,,,,,
g2_rain_fade,RAIN_FADE,14,,400,2,12,ok,,,1,49.00754199999824,2016.0,5,10.481000000000002,0.1730000000001155,11.187000000000012,11.197750000000894,888.0,709.0,419.0,2016.0,2,2,1,5,1762742140258,1762742140280,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
