scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ln,bytes_ue,bytes_lj,bytes_ln,bytes_total,msgs_ue,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
g1_online_only,LEO_ONLY,12,0.0,200,2,1,ok,,0,2,61.29770798725076,2007.0,5,10.107999999999997,0.03499999999999659,9.911000000000001,9.907625004416332,885.0,707.0,415.0,2007.0,2,2,1,5,1761446971832,1761446971869,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,2,ok,,0,2,58.191874995827675,2011.0,5,10.301999999999996,0.07099999999999795,16.25099999999999,16.24320901464671,886.0,708.0,417.0,2011.0,2,2,1,5,1761446972135,1761446972164,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,3,ok,,0,2,46.57862498424947,2006.0,5,9.625999999999994,0.03500000000002501,9.484000000000009,9.48187499307096,884.0,707.0,415.0,2006.0,2,2,1,5,1761446972415,1761446972441,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,4,ok,,0,2,49.682875018334016,2013.0,5,11.055000000000007,0.04899999999997817,9.902999999999992,9.903167025186121,887.0,709.0,417.0,2013.0,2,2,1,5,1761446972754,1761446972780,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,5,ok,,0,2,49.266040994552895,2011.0,5,9.717000000000002,0.03899999999998727,9.375000000000014,9.372875007102266,886.0,708.0,417.0,2011.0,2,2,1,5,1761446973030,1761446973055,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,6,ok,,0,2,46.62695899605751,2010.0,5,9.819999999999997,0.036000000000001364,9.454000000000008,9.45141600095667,886.0,708.0,416.0,2010.0,2,2,1,5,1761446973306,1761446973331,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,7,ok,,0,2,47.69624999607913,2011.0,5,9.707999999999998,0.03700000000000614,9.302999999999997,9.301415993832052,886.0,708.0,417.0,2011.0,2,2,1,5,1761446973608,1761446973634,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,8,ok,,0,2,50.23104199790396,2012.0,5,9.622,0.0380000000001246,9.504000000000019,9.502208005869761,886.0,709.0,417.0,2012.0,2,2,1,5,1761446973900,1761446973926,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,9,ok,,0,2,46.18491599103436,2010.0,5,9.724999999999994,0.036000000000001364,9.26600000000002,9.264291991712525,886.0,708.0,416.0,2010.0,2,2,1,5,1761446974195,1761446974220,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,10,ok,,0,2,44.715708994772285,2014.0,5,9.422000000000004,0.033999999999991815,9.378000000000043,9.376374975545332,888.0,709.0,417.0,2014.0,2,2,1,5,1761446974491,1761446974516,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,11,ok,,0,2,46.98150002514012,2018.0,5,9.684999999999992,0.033999999999991815,10.150999999999982,10.149999987334013,890.0,709.0,419.0,2018.0,2,2,1,5,1761446974781,1761446974805,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,12,ok,,0,2,47.67350002657622,2013.0,5,9.715,0.03299999999995862,9.598000000000013,9.595500014256686,887.0,709.0,417.0,2013.0,2,2,1,5,1761446975074,1761446975098,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,13,ok,,0,2,46.35562500334345,2010.0,5,9.755999999999997,0.03400000000004866,9.596000000000004,9.594000002834946,886.0,708.0,416.0,2010.0,2,2,1,5,1761446975364,1761446975390,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,14,ok,,0,2,45.21033298806287,2011.0,5,9.668999999999997,0.03499999999996817,9.350999999999999,9.348166990093887,886.0,708.0,417.0,2011.0,2,2,1,5,1761446975653,1761446975675,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,15,ok,,0,2,43.823333020554855,2014.0,5,10.116999999999997,0.043000000000006366,9.751000000000033,9.752125013619661,888.0,709.0,417.0,2014.0,2,2,1,5,1761446975941,1761446975963,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,16,ok,,0,2,46.94962498615496,2013.0,5,9.801000000000002,0.03500000000019554,9.506000000000029,9.504332992946729,887.0,709.0,417.0,2013.0,2,2,1,5,1761446976215,1761446976240,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,17,ok,,0,2,52.363291004439816,2008.0,5,9.798999999999996,0.037000000000091404,9.939000000000021,9.935999987646937,886.0,707.0,415.0,2008.0,2,2,1,5,1761446976509,1761446976538,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,18,ok,,0,2,46.37699999148026,2011.0,5,9.674999999999997,0.03500000000002501,9.319999999999993,9.318541997345164,886.0,708.0,417.0,2011.0,2,2,1,5,1761446976786,1761446976812,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,19,ok,,0,2,52.625374984927475,2012.0,5,10.574000000000005,0.051000000000044565,13.938000000000017,13.9404580113478,887.0,708.0,417.0,2012.0,2,2,1,5,1761446977069,1761446977094,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,200,2,20,ok,,0,2,50.56549998698756,2010.0,5,9.726000000000003,0.03199999999992542,9.567000000000007,9.563833009451628,886.0,708.0,416.0,2010.0,2,2,1,5,1761446977364,1761446977391,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,1,ok,,0,2,48.00325000542216,2013.0,5,9.604999999999997,0.03799999999978354,9.742999999999995,9.738124994328246,887.0,709.0,417.0,2013.0,2,2,1,5,1761446978288,1761446978312,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,2,ok,,0,2,46.97233400656842,2011.0,5,9.820999999999994,0.03599999999994452,9.838000000000022,9.837209014222026,886.0,708.0,417.0,2011.0,2,2,1,5,1761446978585,1761446978609,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,3,ok,,0,2,53.98949998198077,2017.0,5,16.311999999999998,0.15899999999987813,10.493000000000052,10.489749984117225,889.0,709.0,419.0,2017.0,2,2,1,5,1761446978874,1761446978899,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,4,ok,,0,2,45.96354198292829,2011.0,5,9.584,0.03200000000003911,9.79200000000003,9.790583018912002,886.0,709.0,416.0,2011.0,2,2,1,5,1761446979177,1761446979203,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,5,ok,,0,2,55.244291987037286,2011.0,5,10.341999999999995,0.04999999999984084,12.920000000000073,12.912708974909037,887.0,707.0,417.0,2011.0,2,2,1,5,1761446979459,1761446979487,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,6,ok,,0,2,41.38058301759884,2003.0,5,9.603000000000002,0.03300000000001546,9.630999999999972,9.6291670051869,883.0,707.0,413.0,2003.0,2,2,1,5,1761446979758,1761446979779,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,7,ok,,0,2,42.911708005703986,2004.0,5,9.770999999999994,0.03599999999994452,9.37299999999999,9.37099999282509,883.0,707.0,414.0,2004.0,2,2,1,5,1761446980045,1761446980068,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,8,ok,,0,2,44.90304199862294,2010.0,5,9.577000000000005,0.033999999999991815,9.54200000000003,9.540500002913177,886.0,708.0,416.0,2010.0,2,2,1,5,1761446980369,1761446980393,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,9,ok,,0,2,50.64566701184958,2011.0,5,9.863000000000003,0.03200000000003911,9.608000000000004,9.606499981600791,886.0,708.0,417.0,2011.0,2,2,1,5,1761446980650,1761446980677,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,10,ok,,0,2,45.86170898983255,2011.0,5,10.024999999999999,0.04099999999993997,9.94399999999996,9.941166994394735,886.0,709.0,416.0,2011.0,2,2,1,5,1761446980945,1761446980968,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,11,ok,,0,2,51.069874985842034,2011.0,5,9.883000000000003,0.03499999999985448,9.621999999999957,9.620166994864121,886.0,708.0,417.0,2011.0,2,2,1,5,1761446981238,1761446981266,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,12,ok,,0,2,42.74062500917353,2013.0,5,9.689999999999998,0.03599999999994452,9.833000000000027,9.831292001763359,887.0,709.0,417.0,2013.0,2,2,1,5,1761446981533,1761446981554,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,13,ok,,0,2,50.169084017397836,2012.0,5,9.880000000000003,0.038000000000010914,9.810000000000002,9.807042020838708,887.0,708.0,417.0,2012.0,2,2,1,5,1761446981815,1761446981842,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,14,ok,,0,2,48.63699999987148,2008.0,5,9.657999999999998,0.03699999999980719,9.803999999999974,9.801625012187287,885.0,707.0,416.0,2008.0,2,2,1,5,1761446982098,1761446982124,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,15,ok,,0,2,47.58883299655281,2014.0,5,9.735,0.036000000000171894,9.620999999999981,9.618457988835871,888.0,709.0,417.0,2014.0,2,2,1,5,1761446982383,1761446982408,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,16,ok,,0,2,42.57333299028687,2016.0,5,9.555000000000003,0.035999999999830834,10.009000000000015,10.007500008214265,889.0,708.0,419.0,2016.0,2,2,1,5,1761446982671,1761446982691,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,17,ok,,0,2,49.29458399419673,2010.0,5,9.688000000000002,0.04200000000003001,9.509000000000015,9.506250004051253,886.0,708.0,416.0,2010.0,2,2,1,5,1761446982950,1761446982976,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,18,ok,,0,2,53.072125010658056,2012.0,5,11.055,0.05500000000017735,12.500999999999976,12.498750002123415,887.0,707.0,418.0,2012.0,2,2,1,5,1761446983246,1761446983274,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,19,ok,,0,2,49.4830830139108,2008.0,5,9.796,0.03199999999992542,9.66700000000003,9.664167009759694,885.0,708.0,415.0,2008.0,2,2,1,5,1761446983541,1761446983567,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,400,2,20,ok,,0,2,46.26420798012987,2010.0,5,9.657000000000004,0.03599999999994452,9.737000000000023,9.735291008837521,886.0,708.0,416.0,2010.0,2,2,1,5,1761446983826,1761446983850,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,1,ok,,0,2,49.40504199475981,2008.0,5,9.647000000000002,0.038000000000351974,9.439999999999998,9.436958993319422,886.0,707.0,415.0,2008.0,2,2,1,5,1761446984778,1761446984805,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,2,ok,,0,2,47.68870898988098,2008.0,5,9.506000000000004,0.03600000000005821,9.560999999999979,9.559166996041313,885.0,707.0,416.0,2008.0,2,2,1,5,1761446985069,1761446985094,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,3,ok,,0,2,47.65029202098958,2009.0,5,9.870000000000005,0.035999999999830834,9.915999999999997,9.91445902036503,886.0,708.0,415.0,2009.0,2,2,1,5,1761446985359,1761446985384,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,4,ok,,0,2,46.14991700509563,2008.0,5,9.849999999999998,0.03399999999987813,9.611000000000047,9.609125001588836,885.0,707.0,416.0,2008.0,2,2,1,5,1761446985653,1761446985676,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,5,ok,,0,2,47.23424999974668,2014.0,5,10.21,0.047000000000025466,9.778999999999996,9.775040991371498,888.0,709.0,417.0,2014.0,2,2,1,5,1761446985949,1761446985976,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,6,ok,,0,2,48.77883300650865,2009.0,5,10.085,0.03699999999980719,9.831000000000131,9.82804101658985,885.0,708.0,416.0,2009.0,2,2,1,5,1761446986227,1761446986251,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,7,ok,,0,2,50.10641700937413,2014.0,5,9.995000000000001,0.032999999999901775,9.745999999999981,9.744374983711168,888.0,709.0,417.0,2014.0,2,2,1,5,1761446986509,1761446986536,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,8,ok,,0,2,46.36174999177456,2013.0,5,9.700999999999993,0.03799999999978354,9.520999999999958,9.518625010969117,887.0,709.0,417.0,2013.0,2,2,1,5,1761446986800,1761446986824,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,9,ok,,0,2,48.728083027526736,2010.0,5,9.530999999999995,0.038000000000010914,9.932999999999993,9.93012500111945,886.0,708.0,416.0,2010.0,2,2,1,5,1761446987082,1761446987107,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,10,ok,,0,2,49.50966700562276,2011.0,5,9.743000000000002,0.038000000000010914,9.692000000000007,9.689750004326925,887.0,708.0,416.0,2011.0,2,2,1,5,1761446987359,1761446987386,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,11,ok,,0,2,43.72216699994169,2013.0,5,9.730000000000004,0.03700000000003456,9.830999999999904,9.828915994148701,887.0,709.0,417.0,2013.0,2,2,1,5,1761446987661,1761446987682,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,12,ok,,0,2,47.0128329761792,2013.0,5,9.723000000000006,0.03700000000003456,9.741999999999962,9.740249981405213,887.0,709.0,417.0,2013.0,2,2,1,5,1761446987946,1761446987971,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,13,ok,,0,2,52.260875003412366,2011.0,5,9.814000000000007,0.03399999999987813,9.75100000000009,9.747415984747931,886.0,709.0,416.0,2011.0,2,2,1,5,1761446988229,1761446988258,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,14,ok,,0,2,47.64095798600465,2010.0,5,9.652999999999995,0.03399999999987813,9.793999999999983,9.791832999326289,886.0,708.0,416.0,2010.0,2,2,1,5,1761446988530,1761446988554,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,15,ok,,0,2,51.774167019175366,2015.0,5,10.344999999999999,0.057000000000243745,11.270000000000095,11.424458993133157,889.0,708.0,418.0,2015.0,2,2,1,5,1761446988833,1761446988861,,,,,,,,,,,,,,,
g1_online_only,LEO_ONLY,12,0.0,600,2,16,ok,,0,2,46.17470901575871,2007.0,5,9.769999999999992,0.038000000000010914,9.91099999999983,9.909958025673404,885.0,707.0,415.0,2007.0,2,2,1,5,1761446989145,1761446989169,,,,,,,,,,,,,,,
