scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ln,bytes_ue,bytes_lj,bytes_ln,bytes_total,msgs_ue,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
l1_online_only,LEO_ONLY,12,0.0,200,2,1,failed,handover_request,0,2,19.873749999987922,735,2,0.125,21.518999999999323,0.0,0.0,1639,,735,2374,2,,2,4,1761992963639,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,2,failed,handover_request,0,2,16.167459000143936,735,2,0.11799999999999855,20.551000000000386,0.0,0.0,1640,,735,2375,2,,2,4,1761992964620,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,3,failed,handover_request,0,2,19.011500000033266,735,2,0.11199999999999477,21.088999999999942,0.0,0.0,1638,,735,2373,2,,2,4,1761992965617,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,4,failed,handover_request,0,2,15.667291999989175,735,2,0.11899999999999622,21.378999999999905,0.0,0.0,1641,,735,2376,2,,2,4,1761992966649,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,5,failed,handover_request,0,2,15.961084000082337,735,2,0.11700000000000443,20.702000000000226,0.0,0.0,1640,,735,2375,2,,2,4,1761992967627,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,6,failed,handover_request,0,2,23.765958000012688,735,2,0.5850000000000009,20.95300000000043,0.0,0.0,1638,,735,2373,2,,2,4,1761992968595,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,7,failed,handover_request,0,2,17.79612499990435,735,2,0.1039999999999992,33.85599999999977,0.0,0.0,1639,,735,2374,2,,2,4,1761992969567,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,8,failed,handover_request,0,2,14.992458000051556,735,2,0.1159999999999961,20.86700000000019,0.0,0.0,1638,,735,2373,2,,2,4,1761992970594,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,9,failed,handover_request,0,2,14.868750000005093,735,2,0.10900000000000531,21.24200000000019,0.0,0.0,1638,,735,2373,2,,2,4,1761992971585,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,10,failed,handover_request,0,2,17.795624999962456,735,2,0.125,20.89099999999962,0.0,0.0,1640,,735,2375,2,,2,4,1761992972558,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,11,failed,handover_request,0,2,16.27141600010873,735,2,0.10099999999999909,20.640000000000327,0.0,0.0,1641,,735,2376,2,,2,4,1761992973525,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,12,failed,handover_request,0,2,15.384042000050613,735,2,0.11999999999999744,20.9950000000008,0.0,0.0,1638,,735,2373,2,,2,4,1761992974577,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,13,failed,handover_request,0,2,17.975125000020853,735,2,0.125,21.289999999999964,0.0,0.0,1640,,735,2375,2,,2,4,1761992975558,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,14,failed,handover_request,0,2,18.69666699985828,735,2,0.1110000000000042,21.263999999999214,0.0,0.0,1640,,735,2375,2,,2,4,1761992976550,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,15,failed,handover_request,0,2,17.16620800016244,735,2,0.11199999999999832,21.14600000000064,0.0,0.0,1640,,735,2375,2,,2,4,1761992977514,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,16,failed,handover_request,0,2,16.001417000097717,735,2,0.12300000000000111,21.359999999999673,0.0,0.0,1640,,735,2375,2,,2,4,1761992978543,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,17,failed,handover_request,0,2,14.62349999997059,735,2,0.12600000000000122,21.373000000000502,0.0,0.0,1640,,735,2375,2,,2,4,1761992979496,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,18,failed,handover_request,0,2,15.401167000163696,735,2,0.12399999999999878,21.879000000000815,0.0,0.0,1640,,735,2375,2,,2,4,1761992980512,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,19,failed,handover_request,0,2,14.996541999835244,735,2,0.12300000000000466,21.187999999999192,0.0,0.0,1641,,735,2376,2,,2,4,1761992981487,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,20,failed,handover_request,0,2,17.452749999847583,735,2,0.11600000000000321,20.877000000000407,0.0,0.0,1636,,735,2371,2,,2,4,1761992982491,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,1,failed,handover_request,0,2,16.996707999851424,735,2,0.12299999999999756,21.00800000000072,0.0,0.0,1640,,735,2375,2,,2,4,1761992983528,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,2,failed,handover_request,0,2,15.092124999910084,735,2,0.09199999999999875,21.272000000000844,0.0,0.0,1639,,735,2374,2,,2,4,1761992984530,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,3,failed,handover_request,0,2,14.975374999949054,735,2,0.1739999999999995,23.786000000000968,0.0,0.0,1640,,735,2375,2,,2,4,1761992985572,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,4,failed,handover_request,0,2,16.37070800006768,735,2,0.10600000000000165,20.99000000000069,0.0,0.0,1638,,735,2373,2,,2,4,1761992986518,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,5,failed,handover_request,0,2,17.92179200015198,735,2,0.09000000000000341,21.652000000000044,0.0,0.0,1641,,735,2376,2,,2,4,1761992987592,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,6,failed,handover_request,0,2,19.825625000066793,735,2,0.11799999999999855,21.721999999999753,0.0,0.0,1638,,735,2373,2,,2,4,1761992988616,,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,7,failed,handover_request,0,2,17.721375000064654,735,2,0.12399999999999878,21.036999999999352,0.0,0.0,1638,,735,2373,2,,2,4,1761992989618,,,,,,,,,,,,,,,,
