scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_ap2,processing_ms_ap2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,1,ok,,0,1,30.419124999752967,663,1,0.7990000000000066,8.309000000000196,9.161457999653067,1762007096666,1762007096944,,,,,,,,,,short,7408,884,207,186,2
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,2,ok,,0,1,13.422500000160653,663,1,0.6529999999999987,2.081000000000131,3.2418339997093426,1762007105527,1762007105732,,,,,,,,,,short,5892,717,330,220,1
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,3,ok,,0,1,25.112584000453353,663,1,1.6730000000000018,6.346999999998843,8.018665999770747,1762007112651,1762007113360,,,,,,,,,,short,7440,289,286,276,0
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,4,ok,,0,1,22.70587500061083,663,1,0.6439999999999984,2.640999999998712,3.730833001100109,1762007122104,1762007122311,,,,,,,,,,short,7194,680,293,201,0
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,5,ok,,0,1,17.03754200025287,663,1,0.8469999999999942,2.6530000000002474,3.373916999407811,1762007130703,1762007130920,,,,,,,,,,short,6465,351,230,208,0
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,6,ok,,0,1,17.218917000718648,663,1,0.6129999999999924,2.056999999999789,3.049667000595946,1762007138813,1762007139007,,,,,,,,,,short,7287,303,210,201,2
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,7,ok,,0,1,21.786167000755086,663,1,0.8810000000000073,2.344000000000051,3.0427910005528247,1762007147982,1762007148184,,,,,,,,,,short,7567,564,307,155,1
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,8,ok,,0,1,19.824582999717677,663,1,0.7740000000000009,2.462000000000444,3.5958749995188555,1762007157291,1762007157513,,,,,,,,,,short,6619,702,290,231,0
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,9,ok,,0,1,24.557624999943073,663,1,0.6989999999999981,2.2760000000007494,3.1354580005427124,1762007165422,1762007165633,,,,,,,,,,short,6728,494,314,229,3
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,10,ok,,0,1,16.165041999556706,663,1,0.8349999999999937,2.3669999999992797,3.122125001027598,1762007173785,1762007173986,,,,,,,,,,short,7522,678,333,217,1
