scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,cpu_ms_ground,cpu_ms_ncc,processing_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,combo_index
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,1,ok,,0,1,115.7635420004226,1527.0,6,0.8629999999999924,0.0519999999999925,0.04600000000000648,0.04600000000000648,0.0,1762437226245,1762437226361,,,,,,,,,,short+short,7127,884,316,235,1,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,2,ok,,0,1,76.60083300015685,1530.0,6,0.5279999999999987,0.036000000000001364,0.0589999999999975,0.0589999999999975,0.0,1762437236920,1762437236997,,,,,,,,,,short+short,6991,433,249,204,1,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,3,ok,,0,1,77.91695800005982,1530.0,6,0.6439999999999984,0.06100000000000705,0.055999999999997385,0.055999999999997385,0.0,1762437247990,1762437248068,,,,,,,,,,short+short,6786,419,257,152,1,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,4,ok,,0,1,73.36674999987736,1529.0,6,0.6280000000000072,0.10900000000002308,0.05999999999998806,0.05999999999998806,0.0,1762437259570,1762437259643,,,,,,,,,,short+short,6182,611,271,230,4,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,5,ok,,0,1,70.81599999946775,1530.0,6,0.7950000000000017,0.07800000000000296,0.045000000000015916,0.045000000000015916,0.0,1762437269275,1762437269346,,,,,,,,,,short+short,5991,299,341,253,3,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,1,ok,,0,1,65.36950000008801,1528.0,6,0.5700000000000003,0.0730000000000075,0.03899999999998727,0.03899999999998727,0.0,1762437278821,1762437278886,,,,,,,,,,short+short,5908,283,219,264,3,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,2,ok,,0,1,77.83658300013485,1529.0,6,0.47100000000000364,0.029000000000010573,0.0379999999999967,0.0379999999999967,0.0,1762437289463,1762437289541,,,,,,,,,,short+short,5763,284,306,234,0,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,3,ok,,0,1,83.18470900030661,1530.0,6,0.46399999999999864,0.047000000000011255,0.04999999999999716,0.04999999999999716,0.0,1762437298852,1762437298936,,,,,,,,,,short+short,6064,770,317,240,0,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,4,ok,,0,1,69.21141699967848,1530.0,6,0.5889999999999986,0.06199999999999761,0.060000000000002274,0.060000000000002274,0.0,1762437308298,1762437308367,,,,,,,,,,short+short,6646,555,297,274,2,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,5,ok,,0,1,78.07466700069199,1528.0,6,0.5519999999999996,0.05299999999999727,0.0420000000000158,0.0420000000000158,0.0,1762437318813,1762437318891,,,,,,,,,,short+short,5895,378,315,252,0,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,1,ok,,0,1,67.79191700024967,1531.0,6,0.6119999999999948,0.04899999999999238,0.049000000000006594,0.049000000000006594,0.0,1762437329049,1762437329117,,,,,,,,,,short+short,7510,551,325,209,2,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,2,ok,,0,1,69.43387499995879,1532.0,6,0.4450000000000003,0.03999999999996362,0.042999999999992156,0.042999999999992156,0.0,1762437340119,1762437340188,,,,,,,,,,short+short,6820,317,215,163,4,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,3,ok,,0,1,73.84791700042115,1531.0,6,0.48499999999999943,0.025000000000034106,0.04200000000000159,0.04200000000000159,0.0,1762437350870,1762437350944,,,,,,,,,,short+short,6935,718,331,196,0,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,4,ok,,0,1,77.75391700033651,1531.0,6,0.5019999999999953,0.04099999999999682,0.0379999999999967,0.0379999999999967,0.0,1762437362439,1762437362517,,,,,,,,,,short+short,7001,623,289,211,4,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,5,ok,,0,3,885.5386249997537,1792.0,8,2.2280000000000015,0.1589999999999634,0.19000000000001194,0.19000000000001194,0.0,1762437372684,1762437373569,,,,,,,,,,short+short,6482,325,329,183,0,0
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,1,ok,,0,1,74.31787499990605,1530.0,6,0.9000000000000057,0.025999999999982037,0.0420000000000158,0.0420000000000158,0.0,1762437384544,1762437384619,,,,,,,,,,short+mid,7256,806,302,191,3,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,2,ok,,0,1,70.72645799962629,1530.0,6,0.6259999999999977,0.12000000000000455,0.060000000000002274,0.060000000000002274,0.0,1762437401383,1762437401454,,,,,,,,,,short+mid,7214,617,317,162,4,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,3,ok,,0,1,68.71612499980984,1528.0,6,0.7450000000000045,0.10099999999997067,0.1980000000000075,0.1980000000000075,0.0,1762437417060,1762437417129,,,,,,,,,,short+mid,6010,426,200,262,2,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,4,ok,,0,3,495.281999999861,1794.0,8,1.8430000000000035,0.33899999999999864,0.19400000000000261,0.19400000000000261,0.0,1762437432737,1762437433232,,,,,,,,,,short+mid,6228,627,342,187,4,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,5,ok,,0,1,74.56683399959729,1529.0,6,0.6729999999999947,0.07999999999998408,0.055999999999997385,0.055999999999997385,0.0,1762437447146,1762437447220,,,,,,,,,,short+mid,5946,766,238,231,3,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,1,ok,,0,1,70.9339999993972,1533.0,6,0.4450000000000003,0.036000000000001364,0.026999999999986812,0.026999999999986812,0.0,1762437462326,1762437462397,,,,,,,,,,short+mid,6056,591,275,159,1,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,2,ok,,0,1,71.90212500063353,1530.0,6,0.4580000000000055,0.03899999999998727,0.03699999999999193,0.03699999999999193,0.0,1762437475547,1762437475619,,,,,,,,,,short+mid,7565,431,345,279,0,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,3,ok,,0,1,75.43587500003923,1530.0,6,0.42500000000000426,0.03700000000000614,0.03499999999998238,0.03499999999998238,0.0,1762437490045,1762437490121,,,,,,,,,,short+mid,6923,340,286,275,2,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,4,ok,,0,1,78.50412500010862,1530.0,6,0.41799999999999926,0.02800000000002001,0.05299999999999727,0.05299999999999727,0.0,1762437503528,1762437503606,,,,,,,,,,short+mid,6293,783,206,191,0,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,5,ok,,0,1,76.59658299962757,1532.0,6,0.45400000000000773,0.04199999999997317,0.034000000000006025,0.034000000000006025,0.0,1762437520722,1762437520798,,,,,,,,,,short+mid,6557,498,217,201,4,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,1,ok,,0,1,74.49545800045598,1528.0,6,0.6070000000000064,0.05699999999998795,0.05500000000000682,0.05500000000000682,0.0,1762437536326,1762437536400,,,,,,,,,,short+mid,6127,525,333,195,2,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,2,ok,,0,1,79.96158300011302,1529.0,6,0.47399999999999665,0.03700000000000614,0.028000000000005798,0.028000000000005798,0.0,1762437551447,1762437551527,,,,,,,,,,short+mid,7320,862,327,164,2,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,3,ok,,0,1,79.11962500020309,1531.0,6,0.41100000000000136,0.036000000000001364,0.03200000000001069,0.03200000000001069,0.0,1762437567307,1762437567386,,,,,,,,,,short+mid,6226,554,341,269,0,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,4,ok,,0,3,898.4913760004929,1791.0,8,1.9080000000000013,0.3410000000000082,0.18599999999999284,0.18599999999999284,0.0,1762437584043,1762437584942,,,,,,,,,,short+mid,6685,766,293,276,3,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,5,ok,,0,1,69.9525830004859,1531.0,6,0.4549999999999983,0.04099999999999682,0.031999999999996476,0.031999999999996476,0.0,1762437600384,1762437600454,,,,,,,,,,short+mid,7687,322,264,162,4,1
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,1,ok,,0,1,71.57612500031973,1530.0,6,0.4709999999999894,0.03100000000000591,0.03499999999999659,0.03499999999999659,0.0,1762437615828,1762437615899,,,,,,,,,,short+long,7522,639,208,201,5,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,2,ok,,0,1,77.41575000000012,1530.0,6,0.4609999999999985,0.025000000000005684,0.0379999999999967,0.0379999999999967,0.0,1762437636448,1762437636525,,,,,,,,,,short+long,7665,304,213,187,4,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,3,failed,leo_timeout,0,3,603.598583999883,399.0,3,0.6239999999999952,0.0,0.0,0.0,0.0,,,,,,,,,,,,short+long,7081,611,300,177,7,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,4,ok,,0,1,73.01570799972978,1530.0,6,0.6360000000000028,0.09199999999998454,0.08199999999999363,0.08199999999999363,0.0,1762437680951,1762437681024,,,,,,,,,,short+long,6255,767,239,184,4,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,200,2,5,ok,,0,1,79.43579200036766,1529.0,6,0.4450000000000003,0.03300000000001546,0.030000000000001137,0.030000000000001137,0.0,1762437700568,1762437700648,,,,,,,,,,short+long,6577,713,346,246,2,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,1,ok,,0,1,69.84212499992282,1530.0,6,0.652000000000001,0.09499999999999886,0.05100000000000193,0.05100000000000193,0.0,1762437725346,1762437725416,,,,,,,,,,short+long,7383,422,234,238,3,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,2,ok,,0,1,78.9485830000558,1531.0,6,0.4410000000000025,0.029000000000024784,0.036000000000001364,0.036000000000001364,0.0,1762437749629,1762437749708,,,,,,,,,,short+long,5920,677,291,266,4,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,3,ok,,0,1,75.06091600043874,1530.0,6,0.4549999999999983,0.03899999999998727,0.04599999999999227,0.04599999999999227,0.0,1762437772144,1762437772220,,,,,,,,,,short+long,5882,768,319,194,6,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,4,ok,,0,1,79.11204199990607,1531.0,6,0.43599999999999994,0.027000000000015234,0.043000000000006366,0.043000000000006366,0.0,1762437792736,1762437792815,,,,,,,,,,short+long,7521,542,327,235,3,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,300,2,5,ok,,0,1,71.6216249993522,1530.0,6,0.4280000000000044,0.02400000000002933,0.036000000000001364,0.036000000000001364,0.0,1762437815827,1762437815898,,,,,,,,,,short+long,7373,884,276,176,1,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,1,ok,,0,1,78.76737500009767,1531.0,6,0.43300000000000693,0.04300000000003479,0.03499999999999659,0.03499999999999659,0.0,1762437834164,1762437834242,,,,,,,,,,short+long,6692,371,232,247,8,2
