scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
s3_short_window,SHORT_WINDOW,12,0.5,200,2,1,ok,,,1,57.599125000010076,97,1,25.78,11.568999999999996,1761044961260,1761044961285,,,,,,,,,,short,7727,731,211,153,1
s3_short_window,SHORT_WINDOW,12,0.5,200,2,2,ok,,,1,48.0965409999925,97,1,25.714,11.635999999999996,1761044972064,1761044972081,,,,,,,,,,short,7357,796,240,222,1
s3_short_window,SHORT_WINDOW,12,0.5,200,2,3,ok,,,1,47.31966700001067,97,1,25.689999999999998,11.313999999999993,1761044982481,1761044982497,,,,,,,,,,short,6397,831,206,211,0
s3_short_window,SHORT_WINDOW,12,0.5,200,2,4,ok,,,1,43.07587499999954,97,1,24.427999999999997,10.707000000000022,1761044991751,1761044991763,,,,,,,,,,short,7409,622,342,217,0
s3_short_window,SHORT_WINDOW,12,0.5,200,2,5,ok,,,2,254.57512500000234,194,2,31.947000000000003,11.650000000000006,1761045002063,1761045002079,,,,,,,,,,short,5836,313,219,204,1
s3_short_window,SHORT_WINDOW,12,0.5,200,2,6,ok,,,2,254.61104200000761,194,2,34.3,10.952999999999975,1761045010698,1761045010712,,,,,,,,,,short,7299,288,211,188,1
s3_short_window,SHORT_WINDOW,12,0.5,200,2,7,ok,,,2,256.5822090000154,194,2,34.285,12.335000000000008,1761045021158,1761045021174,,,,,,,,,,short,6791,374,299,162,1
s3_short_window,SHORT_WINDOW,12,0.5,200,2,8,ok,,,1,45.73779099999342,97,1,25.028999999999996,11.25800000000001,1761045031121,1761045031135,,,,,,,,,,short,6103,716,340,269,2
s3_short_window,SHORT_WINDOW,12,0.5,200,2,9,ok,,,2,261.28395899999646,194,2,35.146999999999984,12.295999999999992,1761045040077,1761045040095,,,,,,,,,,short,7601,333,288,217,2
s3_short_window,SHORT_WINDOW,12,0.5,200,2,10,ok,,,2,258.7020420000101,194,2,34.485,12.273000000000025,1761045050944,1761045050960,,,,,,,,,,short,5889,481,324,233,0
