scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
y2_rain_fade,RAIN_FADE,14,0.1,300,2,1,ok,,0,1,38.34933299367549,1021.0,1,4.044999999999995,15.129999999999654,1762231594411,1762231594425,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,2,ok,,0,1,32.61729200312402,1020.0,1,3.371000000000002,12.846999999999753,1762231594756,1762231594769,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,3,ok,,0,1,34.81691700289957,1019.0,1,3.7560000000000073,13.791999999999916,1762231595128,1762231595141,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,4,ok,,0,1,32.93508299975656,1021.0,1,3.7179999999999964,14.012000000000171,1762231595517,1762231595528,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,5,ok,,0,1,34.095082999556325,1020.0,1,3.661999999999999,13.773999999999887,1762231595892,1762231595903,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,6,ok,,0,1,36.11979100242024,1020.0,1,3.8810000000000002,13.815999999999804,1762231596288,1762231596302,light,0.8,80.0,0.0,1,1,1.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,7,ok,,0,1,37.759374994493555,1020.0,1,3.833999999999996,13.980000000000018,1762231596692,1762231596705,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,8,ok,,0,1,35.12629200122319,1020.0,1,3.862000000000002,14.157999999999902,1762231597090,1762231597100,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,9,ok,,0,1,38.33374999521766,1021.0,1,3.6809999999999974,14.114999999999327,1762231597455,1762231597470,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,10,ok,,0,1,32.89924999990035,1021.0,1,3.683000000000007,13.544999999999618,1762231597815,1762231597828,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,11,ok,,0,1,32.66725000139559,1020.0,1,3.703000000000003,13.907999999999902,1762231598211,1762231598223,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,12,ok,,0,1,33.000999996147584,1021.0,1,6.16899999999999,14.471000000000004,1762231598592,1762231598604,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,13,ok,,0,1,36.71087499969872,1020.0,1,3.563000000000006,13.603000000000065,1762231598956,1762231598969,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,14,ok,,0,1,31.053292004799005,1021.0,1,3.6510000000000034,13.847999999999956,1762231599329,1762231599341,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,15,ok,,0,1,36.99858300387859,1021.0,1,3.9299999999999997,14.190999999999804,1762231599728,1762231599741,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
