scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
y2_rain_fade,RAIN_FADE,14,0.1,300,2,1,ok,,0,1,56.9623329975002,374.0,1,3.8359999999999985,15.60499999999999,1762782754273,1762782754306,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,2,ok,,0,1,29.854041000362486,374.0,1,3.431999999999995,13.056999999999988,1762782754633,1762782754643,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,3,ok,,0,1,29.318458000489045,374.0,1,3.423000000000002,13.163000000000011,1762782755022,1762782755032,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,4,ok,,0,1,32.460709000588395,374.0,1,3.788000000000004,13.551000000000002,1762782755393,1762782755406,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,5,ok,,0,1,39.03212499790243,374.0,1,3.7830000000000013,14.167999999999978,1762782755788,1762782755801,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,6,ok,,0,2,42.01141700104927,748.0,2,5.763000000000005,19.82499999999999,1762782756671,1762782756684,light,0.8,80.0,0.0,1,3,0.3333333333333333,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,7,ok,,0,1,33.71083400270436,374.0,1,3.791000000000004,13.890000000000015,1762782757118,1762782757128,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,8,ok,,0,1,34.35208299924852,374.0,1,3.5330000000000013,13.261000000000024,1762782757499,1762782757510,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,9,ok,,0,1,35.41166700233589,373.0,1,3.788000000000004,13.411000000000001,1762782757886,1762782757898,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,10,ok,,0,1,33.88937500130851,374.0,1,3.7220000000000013,13.413000000000011,1762782758259,1762782758270,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,11,ok,,0,1,30.463750001217704,374.0,1,3.7490000000000023,13.754999999999967,1762782758637,1762782758648,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,12,ok,,0,1,34.05595800359151,374.0,1,3.756999999999998,13.586000000000041,1762782759038,1762782759049,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,13,ok,,0,1,34.012167001492344,374.0,1,3.5429999999999957,13.367999999999995,1762782759431,1762782759444,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,14,ok,,0,1,36.70166700248956,374.0,1,3.8260000000000005,13.795999999999964,1762782759823,1762782759834,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,15,ok,,0,1,37.28708299968275,374.0,1,3.832000000000008,13.460000000000036,1762782760198,1762782760211,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,16,ok,,0,1,33.52962500139256,374.0,1,3.7309999999999945,13.283000000000015,1762782760600,1762782760611,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,17,ok,,0,1,37.559000000328524,374.0,1,3.7240000000000038,13.668000000000006,1762782760983,1762782760996,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,18,ok,,0,1,34.464792002836475,374.0,1,3.7830000000000013,13.708999999999946,1762782761372,1762782761382,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,19,ok,,0,1,32.12708399951225,374.0,1,3.4299999999999997,13.354999999999961,1762782761749,1762782761760,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,20,ok,,0,1,36.48458399766241,374.0,1,3.7250000000000014,13.466000000000008,1762782762116,1762782762128,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,1,ok,,0,1,34.91345799920964,374.0,1,3.838000000000001,13.819999999999993,1762782762650,1762782762663,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,2,ok,,0,1,32.87691600053222,374.0,1,3.8900000000000077,13.879999999999995,1762782763048,1762782763060,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,3,ok,,0,1,34.40374999991036,374.0,1,3.735999999999997,13.676999999999964,1762782763435,1762782763446,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,4,ok,,0,1,37.28695900281309,374.0,1,3.7349999999999994,13.942999999999984,1762782763828,1762782763841,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,5,ok,,0,1,36.114833997999085,374.0,1,3.777000000000001,13.86099999999999,1762782764232,1762782764246,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,6,ok,,0,2,43.47720899750129,748.0,2,5.707999999999998,19.98599999999999,1762782765146,1762782765162,light,0.8,80.0,0.0,1,3,0.3333333333333333,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,7,ok,,0,1,33.77837499647285,374.0,1,3.832999999999995,13.560999999999979,1762782765543,1762782765555,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,8,ok,,0,1,34.46141600215924,374.0,1,3.8190000000000026,13.995000000000005,1762782765935,1762782765949,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,9,ok,,0,1,32.947166000667494,374.0,1,3.651999999999994,13.567000000000007,1762782766303,1762782766314,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,10,ok,,0,1,37.42937499919208,374.0,1,3.725999999999999,14.160000000000025,1762782766678,1762782766691,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,11,ok,,0,1,35.77233400210389,374.0,1,3.517999999999997,13.230000000000075,1762782767022,1762782767036,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,12,ok,,0,1,31.05166699970141,374.0,1,3.7189999999999976,13.403000000000077,1762782767400,1762782767410,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,13,ok,,0,1,35.45716699954937,374.0,1,3.630999999999993,13.366999999999962,1762782767777,1762782767791,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,14,ok,,0,1,34.773832998325815,374.0,1,3.7959999999999994,13.797000000000025,1762782768175,1762782768188,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,15,ok,,0,1,35.724958001082996,374.0,1,3.9399999999999977,14.260999999999967,1762782768555,1762782768568,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,16,ok,,0,1,35.02466699865181,374.0,1,3.6710000000000065,13.502000000000066,1762782768943,1762782768956,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,17,ok,,0,1,33.749707999959355,374.0,1,3.939,13.60200000000009,1762782769323,1762782769334,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,18,ok,,0,1,32.682583998393966,374.0,1,3.743000000000002,13.54600000000005,1762782769693,1762782769704,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,19,ok,,0,1,38.84691699931864,374.0,1,3.7099999999999937,13.826000000000022,1762782770072,1762782770085,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,400,2,20,ok,,0,1,32.248915998934535,374.0,1,3.617999999999995,13.505999999999972,1762782770453,1762782770463,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
