scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
z3_short_window,SHORT_WINDOW,12,0.5,200,2,1,ok,,0,1,55.07720900095592,1021.0,1,4.998999999999995,16.046,1762179544201,1762179544232,,,,,,,,,,short,7460,783,219,182,2
z3_short_window,SHORT_WINDOW,12,0.5,200,2,2,ok,,0,1,31.18466700107092,1021.0,1,3.986000000000004,14.820999999999998,1762179553408,1762179553418,,,,,,,,,,short,6680,808,276,179,0
z3_short_window,SHORT_WINDOW,12,0.5,200,2,3,ok,,0,1,37.0982919994276,1020.0,1,5.6229999999999976,13.387,1762179561532,1762179561547,,,,,,,,,,short,6825,558,259,236,0
z3_short_window,SHORT_WINDOW,12,0.5,200,2,4,ok,,0,1,36.185207998642,1021.0,1,5.219000000000001,13.75,1762179570071,1762179570085,,,,,,,,,,short,7641,563,311,270,0
z3_short_window,SHORT_WINDOW,12,0.5,200,2,5,ok,,0,2,56.84649999966496,2041.0,2,11.59299999999999,29.07299999999998,1762179579769,1762179579789,,,,,,,,,,short,6479,412,327,187,1
z3_short_window,SHORT_WINDOW,12,0.5,200,2,6,ok,,0,1,29.57516599963128,1020.0,1,3.5389999999999944,13.587999999999965,1762179587642,1762179587652,,,,,,,,,,short,7437,737,324,204,1
z3_short_window,SHORT_WINDOW,12,0.5,200,2,7,ok,,0,2,62.11437499950989,2041.0,2,11.892999999999994,32.863,1762179596845,1762179596866,,,,,,,,,,short,6441,316,320,179,0
z3_short_window,SHORT_WINDOW,12,0.5,200,2,8,ok,,0,1,32.52866600087145,1020.0,1,3.8869999999999933,14.50399999999999,1762179604882,1762179604893,,,,,,,,,,short,7393,767,306,203,0
z3_short_window,SHORT_WINDOW,12,0.5,200,2,9,ok,,0,2,49.859958000524784,2041.0,2,11.200000000000003,25.255999999999972,1762179613940,1762179613957,,,,,,,,,,short,5820,513,332,250,1
z3_short_window,SHORT_WINDOW,12,0.5,200,2,10,ok,,0,2,56.55091600056039,2039.0,2,12.073,27.434999999999945,1762179621220,1762179621242,,,,,,,,,,short,6445,440,348,196,0
z3_short_window,SHORT_WINDOW,12,0.5,200,2,11,ok,,0,2,57.1788329998526,2040.0,2,12.71500000000001,29.896000000000015,1762179629513,1762179629533,,,,,,,,,,short,7184,456,320,260,0
z3_short_window,SHORT_WINDOW,12,0.5,200,2,12,ok,,0,1,33.9184579988796,1021.0,1,3.404999999999994,13.541999999999973,1762179638128,1762179638141,,,,,,,,,,short,6348,637,233,179,1
z3_short_window,SHORT_WINDOW,12,0.5,200,2,13,ok,,0,2,58.44129099932616,2041.0,2,11.620000000000005,30.174999999999955,1762179646449,1762179646468,,,,,,,,,,short,7078,395,246,155,1
z3_short_window,SHORT_WINDOW,12,0.5,200,2,14,ok,,0,1,31.907624999803375,1020.0,1,3.7660000000000053,13.856999999999914,1762179655184,1762179655197,,,,,,,,,,short,6378,745,247,183,1
z3_short_window,SHORT_WINDOW,12,0.5,200,2,15,ok,,0,1,33.625457999733044,1021.0,1,4.052,14.458000000000027,1762179663387,1762179663399,,,,,,,,,,short,8293,782,209,277,1
z3_short_window,SHORT_WINDOW,12,0.5,200,2,16,ok,,0,1,31.579374999637366,1020.0,1,4.923000000000002,15.003999999999962,1762179673371,1762179673382,,,,,,,,,,short,6062,817,219,264,1
z3_short_window,SHORT_WINDOW,12,0.5,200,2,17,ok,,0,2,57.962790999226854,2041.0,2,10.260999999999996,31.69500000000005,1762179681064,1762179681082,,,,,,,,,,short,6337,260,276,226,1
z3_short_window,SHORT_WINDOW,12,0.5,200,2,18,ok,,0,2,57.151832999807084,2041.0,2,12.042000000000002,29.40599999999995,1762179689083,1762179689103,,,,,,,,,,short,5872,265,205,215,0
z3_short_window,SHORT_WINDOW,12,0.5,200,2,19,ok,,0,1,33.306125000308384,1019.0,1,3.9790000000000063,14.214000000000055,1762179696779,1762179696792,,,,,,,,,,short,6275,848,305,166,1
z3_short_window,SHORT_WINDOW,12,0.5,200,2,20,failed,client,0,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,short,7499,470,258,267,1
z3_short_window,SHORT_WINDOW,12,0.5,300,2,1,ok,,0,1,33.51812499931839,1020.0,1,3.9569999999999936,14.281999999999925,1762179713554,1762179713566,,,,,,,,,,short,7528,626,321,216,1
z3_short_window,SHORT_WINDOW,12,0.5,300,2,2,ok,,0,1,38.12324999853445,1019.0,1,4.032999999999994,15.452999999999975,1762179723201,1762179723214,,,,,,,,,,short,6073,883,243,156,0
z3_short_window,SHORT_WINDOW,12,0.5,300,2,3,ok,,0,1,31.032374999995227,1020.0,1,3.70300000000001,14.114000000000146,1762179730921,1762179730932,,,,,,,,,,short,6568,796,333,245,1
z3_short_window,SHORT_WINDOW,12,0.5,300,2,4,ok,,0,1,36.007084001539624,1019.0,1,3.935999999999993,18.23300000000006,1762179738925,1762179738935,,,,,,,,,,short,6803,572,224,231,3
z3_short_window,SHORT_WINDOW,12,0.5,300,2,5,ok,,0,2,45.288375000382075,2040.0,2,7.929000000000002,22.28200000000004,1762179747502,1762179747517,,,,,,,,,,short,6024,260,304,208,1
